1,1,20190701,60.08000,Health
2,1,20190704,75.17000,Movies
3,1,20190704,26.24000,Sports
4,1,20190705,70.64000,Books
5,1,20190708,7.890000,Automotive
6,1,20190709,65.33000,Electronics
7,1,20190711,67,Books
8,1,20190712,52.26000,Games
9,1,20190713,18.78000,Grocery
10,1,20190716,49.51000,Outdoors
11,1,20190717,20.33000,Garden
12,1,20190718,75.67000,Garden
13,1,20190719,31.32000,Sports
14,1,20190720,33.81000,Baby
15,1,20190720,55.91000,Kids
16,1,20190723,90.98000,Kids
17,1,20190724,83.33000,Home
18,1,20190725,11.75,Books
19,1,20190726,10.07000,Baby
20,1,20190728,29.94000,Jewelery
21,1,20190730,8.270000,Jewelery
22,1,20190730,96.86000,Movies
23,1,20190731,12.42000,Computers
24,1,20190731,10.03000,Grocery
25,2,20190701,62.07000,Electronics
26,2,20190713,62.58000,Kids
27,2,20190725,1.150000,Grocery
28,2,20190725,57.93000,Industrial
29,2,20190727,30.05000,Toys
30,2,20190730,5.620000,Books
31,3,20190701,69.41000,Books
32,3,20190702,97.70000,Shoes
33,3,20190703,69.76000,Home
34,3,20190711,10.08000,Sports
35,3,20190715,2.080000,Electronics
36,3,20190715,71.82000,Music
37,3,20190716,48.16000,Kids
38,3,20190716,92.69000,Industrial
39,3,20190724,40.90000,Books
40,3,20190727,27.55000,Garden
41,3,20190731,75.87000,Sports
42,3,20190731,98.29000,Tools
43,3,20190731,19.19000,Sports
44,3,20190731,69.38000,Sports
45,4,20190701,75.85000,Clothing
46,4,20190701,70.19000,Outdoors
47,4,20190702,88.01000,Movies
48,4,20190706,67.03000,Sports
49,4,20190708,19.87000,Sports
50,4,20190709,69.23000,Garden
51,4,20190710,89.39000,Electronics
52,4,20190711,37.77000,Sports
53,4,20190711,52.12000,Industrial
54,4,20190712,42.21000,Grocery
55,4,20190713,53.24000,Baby
56,4,20190713,40.23000,Sports
57,4,20190714,14.91000,Health
58,4,20190715,84.70000,Industrial
